customer_id,customer_name,email,registration_date,customer_type,email_valid
C0001,Liam Chaudry,bakshianvi@example.org,2026-05-23,REGULAR,True
C0002,Tejas Kaul,samiazad@example.org,2025-08-30,REGULAR,True
C0003,Arunima Ahuja,issaconi@example.org,2024-03-11,VIP,True
C0004,Gayathri Chaudry,roak@example.org,2023-11-28,VIP,True
C0005,Caleb Sharaf,wchatterjee@example.com,2025-10-17,REGULAR,True
C0006,Janaki Handa,radhakrishnanfarhan@example.net,2026-07-05,REGULAR,True
C0007,Viraj Chaudhuri,bathvedant@example.com,2025-02-16,REGULAR,True
C0008,Shaurya Loke,sudiksha52@example.com,2026-07-01,VIP,True
C0009,Ladli Madan,gargyash@example.org,2026-03-27,REGULAR,True
C0010,Diya Rattan,ektabhalla@example.org,2024-08-25,VIP,True
C0011,Meghana Shanker,kakardivya@example.org,2024-02-13,REGULAR,True
C0012,Priya Rastogi,liam38@example.net,2025-01-19,PREMIUM,True
C0013,Champak Choudhary,lakshitupadhyay@example.com,2024-02-29,REGULAR,True
C0014,Upadhriti Wadhwa,pahalbhatt@example.com,2024-07-31,REGULAR,True
C0015,Isaac Memon,contractoramara@example.net,2025-05-12,PREMIUM,True
C0016,Xiti Gokhale,sudikshaaggarwal@example.net,2025-09-02,REGULAR,True
C0017,Michael Prakash,misrayashica@example.net,2024-03-13,PREMIUM,True
C0018,Janani Mohanty,naikvrinda@example.org,2024-07-12,PREMIUM,True
C0019,Ekapad Walia,khoslafarhan@example.org,2024-01-18,PREMIUM,True
C0020,Siddharth Zacharia,vaishnavigandhi@example.com,2026-06-12,REGULAR,True
C0021,Raksha Varughese,devikarastogi@example.net,2025-06-07,VIP,True
C0022,Ansh Karpe,kotaumang@example.org,2026-01-06,PREMIUM,True
C0023,Veer Bir,abhimanyubobal@example.net,2023-08-24,PREMIUM,True
C0024,Tanish Zacharia,ekavir83@example.com,2024-01-28,VIP,True
C0025,Ranveer Chandra,ykibe@example.com,2023-12-04,PREMIUM,True
C0026,Chatura Chaudhari,bpandya@example.com,2023-10-09,VIP,True
C0027,Rehaan Gupta,znori@example.org,2025-10-17,VIP,True
C0028,Turvi Krish,bdey@example.org,2023-11-01,PREMIUM,True
C0029,Girik Khalsa,dchaudhari@example.net,2024-03-21,REGULAR,True
C0030,Daniel Gala,esunder@example.org,2025-02-14,PREMIUM,True
C0031,Pallavi Sur,ramakrishnanalka@example.com,2024-03-03,VIP,True
C0032,Dipta Bhandari,chamankalla@example.org,2023-09-22,REGULAR,True
C0033,Yashoda Buch,hthakkar@example.org,2024-04-20,REGULAR,True
C0034,Yatin Baral,birwahab@example.com,2026-02-23,VIP,True
C0035,Dipta Khare,sainidiya@example.com,2024-08-22,VIP,True
C0036,Tanvi Mutti,qdeep@example.net,2023-10-27,VIP,True
C0037,Yashawini Lanka,shankerharish@example.org,2024-01-28,VIP,True
C0038,Raksha Mittal,ekapad35@example.com,2026-02-11,PREMIUM,True
C0039,Jack Chhabra,mistryhemang@example.org,2025-11-12,VIP,True
C0040,Hemal Jani,anitamanda@example.net,2026-06-08,REGULAR,True
C0041,Pallavi Malhotra,yashasvi74@example.org,2023-09-13,REGULAR,True
C0042,Neel Sathe,nathkalpit@example.net,2025-11-10,REGULAR,True
C0043,Balendra Pingle,handra@example.org,2025-12-27,PREMIUM,True
C0044,Janya Baral,qushidatta@example.org,2025-01-12,REGULAR,True
C0045,Mohammed Khalsa,zaidchauhan@example.com,2024-03-15,VIP,True
C0046,Nisha Kothari,nitarabakshi@example.org,2024-08-24,PREMIUM,True
C0047,Tristan Iyengar,hritikraja@example.org,2025-06-21,PREMIUM,True
C0048,Mohini Narasimhan,dalaja33@example.org,2024-09-11,VIP,True
C0049,Garima Bala,mallickindali@example.net,2024-01-02,PREMIUM,True
C0050,Radha Pai,pranav94@example.org,2024-11-05,VIP,True
C0051,Aachal Basu,hvaidya@example.com,2025-05-14,PREMIUM,True
C0052,Ekaraj Narayanan,venkateshronith@example.com,2026-03-01,PREMIUM,True
C0053,Eta Rau,jeet48@example.com,2026-06-24,PREMIUM,True
C0054,Owen Mitra,joshua36@example.net,2025-03-28,REGULAR,True
C0055,Ekanta Shroff,modibhavini@example.org,2025-05-23,REGULAR,True
